PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
98,3r2k1/1pp2pp1/2p2n1p/p3pQ2/1P2P1N1/P2r4/5PPP/q4RK1 w - - 0 21,f1a1 d3d1 a1d1 d8d1,587,82,80,200,backRankMate endgame mate mateIn2 short
99,r7/3r1kp1/8/4B2R/7R/p6P/5PP1/2n2K2 w - - 8 33,h4c4 d7d1,411,88,100,206,endgame mate mateIn1 oneMove
100,r3k2r/p2qbp2/1ppp3p/5Rp1/2P1Nn2/6PP/PP1Q2PN/5RK1 w kq - 3 22,g3f4 d7f5 e4d6 e7d6,814,81,86,170,advantage hangingPiece middlegame short
101,7r/1b3k1r/p3p1p1/1p1pPpR1/3P3q/P2B4/1P4QP/6RK w - - 5 50,g5g6 h4h2 g2h2 h7h2,690,89,88,301,kingsideAttack mate mateIn2 middlegame short
102,5r2/p2pbN1Q/1k3qp1/1p4p1/4R3/2PP4/PP3PPP/R5K1 w - - 2 22,f7e5 f6f2 g1h1 f2f1 a1f1 f8f1,886,96,82,666,backRankMate long mate mateIn3 middlegame sacrifice
103,R7/1p3kp1/2pK3p/3p1PP1/1r1B2nP/8/1P6/8 b - - 2 39,b4d4 g5g6 f7f6 a8f8,834,76,99,1172,endgame mate mateIn2 short
104,r3k2r/ppp2pp1/2p5/2b1q2p/2B1P1n1/2N5/PPPPQPP1/R1B2RK1 w kq - 2 11,e2f3 e5h2,599,90,94,247,mate mateIn1 middlegame oneMove
105,r5k1/ppp1Qppp/1q4b1/6r1/2P2R2/2P1P2P/PB3PP1/1R4K1 b - - 8 22,g6b1 e7f7 g8h8 f7f8 a8f8 f4f8,979,79,91,475,backRankMate long mate mateIn3 middlegame sacrifice
106,1k1r4/pp3pp1/2p1p3/4b3/P3n1P1/8/KPP2PN1/3rBR1R b - - 2 31,b8c7 e1a5 b7b6 f1d1,935,86,94,341,advantage discoveredAttack master middlegame short
107,6k1/p5p1/2R3P1/3pr3/8/4P3/P7/5K2 b - - 0 32,e5e7 c6c8 e7e8 c8e8,884,99,77,45,endgame mate mateIn2 rookEndgame short
108,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,991,78,89,216,mate mateIn2 middlegame short
109,r3k2r/1bq1bppp/3ppn2/p5B1/1n1QPP2/1NN5/1PP1B1PP/2KR3R w kq - 0 15,c3b5 c7c2,900,108,95,59,mate mateIn1 middlegame oneMove queensideAttack
